epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg e
93;46,47;0,862288324;32,18;0,999625662;11,33;2,436278127;;
94;46,63;0,740811166;32,51;1,155733535;11,33;2,224979617;;
95;46,47;1,187953847;32,68;1,057558998;11,33;1,921515277;;
96;46,31;1,049577746;32,02;1,238106004;11,33;2,045905923;;
97;45,81;1,179490639;32,51;0,961470451;11,33;2,09189616;;
98;46,63;1,013851055;33;1,188282897;11,33;2,253104263;;
99;46,96;0,575465387;33,17;1,140506772;11,33;2,16118131;;
100;47,45;1,017210062;33,17;1,237299837;11,33;2,524902946;;
101;47,78;0,928916303;33,5;1,047064618;11,33;1,785284848;;
102;48,11;0,975897744;33,5;0,90827752;11,33;2,238165584;;
103;48,11;1,522401741;33,99;0,969230209;11,33;2,035885594;;
104;48,11;0,870946845;34,15;1,042792128;11,33;1,997846641;;
105;47,95;1,161044084;34,32;0,962071297;11,33;1,923015633;;
106;48,44;0,766958479;34,98;0,841824654;11,33;2,128909721;;
107;48,28;0,532741673;34,65;1,106018198;11,33;2,012982396;;
108;48,93;0,841371167;35,96;1,000527577;11,33;1,78744268;;
109;48,28;1,087511819;35,8;1,267117896;11,33;1,839662333;;
110;48,44;1,211106148;36,12;1,04931913;11,33;2,007348632;;
111;48,28;0,72608449;36,45;0,939241113;11,33;1,936278628;;
112;49,43;1,046696516;36,62;1,230188173;11,33;1,802873663;;
113;50,25;0,813502504;36,12;1,060219439;11,33;1,988851389;;
114;50,08;0,853452247;36,62;0,930468296;11,33;1,931484455;;
115;50,25;0,94563665;37,6;1,103121274;11,33;2,13790191;;
116;49,75;0,922536375;37,93;0,942990577;11,33;1,529169875;;
117;50,57;1,029287198;38,59;1,092641865;11,33;1,91350149;;
118;50,74;0,911549848;38,42;0,950830305;11,33;1,62022546;;
119;50,9;0,913277424;38,26;1,025338629;11,33;2,149438531;;
120;50,74;0,712348613;38,59;1,034151026;11,33;1,883693992;;
121;50,41;0,622067617;38,26;1,047704821;11,33;1,99754172;;
122;50,41;0,475468126;39,74;1,045996978;11,33;1,701768011;;
123;50,74;0,835237677;39,9;0,911648185;11,33;1,862721579;;
124;50,74;0,844051644;40,72;0,87907979;11,33;1,221493333;;
125;50,57;0,812527495;40,56;1,07987013;11,33;2,001515453;;
126;50,9;0,605001692;40,39;0,962708906;11,33;1,62110557;;
127;50,9;0,925280496;41,22;1,1870595;11,33;2,22870742;;
128;50,41;0,956875261;40,56;0,822826787;11,33;2,010102233;;
129;50,9;0,625979262;41,38;1,101104283;11,33;1,86974373;;
130;50,74;0,861487402;41,05;1,182649184;11,33;1,40628047;;
131;50,74;0,625360499;41,05;0,903712282;11,33;1,426654733;;
132;51,4;0,939329445;40,23;0,967791294;11,33;1,953219408;;
133;51,4;0,763182379;40,56;0,785611902;11,33;2,130684831;;
134;51,4;0,968075659;40,72;0,965188466;11,33;2,243231309;;
135;51,56;0,625997383;41,38;0,968901924;11,33;1,869345024;;
136;52,05;0,830164221;40,72;1,19034437;11,33;1,787227261;;
137;51,56;0,893964055;40,89;0,798009158;11,33;1,712503337;;
138;51,89;0,707625963;40,39;1,048714238;11,33;1,743348018;;
139;51,72;1,11771065;41,05;1,046667159;11,33;1,575631106;;
140;51,89;0,688351525;41,87;1,248476165;11,33;1,839888924;;
141;51,89;0,708241471;41,87;0,904797549;11,33;1,583906488;;
142;52,38;1,026737523;42,69;1,041917463;11,33;1,866179496;;
143;52,55;1,141756121;42,36;0,955080485;11,33;1,800724751;;
144;52,55;0,491602576;42,53;1,213977989;11,33;1,516155092;;
145;52,22;0,854485956;42,69;0,918411553;11,33;1,690892961;;
146;52,55;0,815645333;43,19;1,086513883;11,33;1,685596895;;
147;52,71;0,738117921;43,02;0,850185368;11,33;1,820656086;;
