epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg eval;avg error
72;29,39;1,211355227;15,11;1,395063785;11,82;2,821632425;;18,77333333;2,14348547
73;30,05;1,068407785;15,27;1,449722383;11,82;2,370129685;;19,04666667;1,793502205
74;30,21;1,248639522;15,11;1,656598863;11,82;2,716254506;;19,04666667;1,721349297
75;29,56;1,223676775;15,11;1,466949664;11,82;2,75453751;;18,83;1,847548369
76;29,89;1,283187257;14,78;1,261702018;11,82;2,796158126;;18,83;1,65449404
77;30,05;1,043789085;14,61;1,323769195;11,82;2,346492535;;18,82666667;1,538100773
78;30,05;1,239506332;14,61;1,340743769;11,82;2,763220648;;18,82666667;1,706185618
79;30,05;1,116038607;14,61;1,40501686;11,66;2,519586719;;18,77333333;1,676832329
80;30,21;0,977695976;15,93;1,30267594;11,66;2,584122018;;19,26666667;1,520399857
81;30,54;1,070765299;15,93;1,338803137;11,66;2,768431678;;19,37666667;1,459121808
82;30,21;1,335066547;16,42;1,431095414;11,66;2,221299544;;19,43;1,615097094
83;30,38;1,265968096;16,91;1,100837021;11,66;2,422064965;;19,65;1,427714008
84;30,87;0,892869536;16,91;1,302899989;11,49;2,524889534;;19,75666667;1,381811429
85;30,38;1,650544127;17,24;1,31981387;11,49;2,592749123;;19,70333333;1,439311484
86;31,03;1,129730024;17,24;1,099473109;11,49;2,765668393;;19,92;1,569949918
87;31,03;1,008200563;17,24;1,438600343;11,49;2,186582778;;19,92;1,597830855
88;31,03;1,09214426;17,08;1,384964502;11,33;2,540146659;;19,81333333;1,646004668
89;31,36;1,086058482;17,41;1,175597944;11,33;2,404476831;;20,03333333;1,56373315
90;31,53;1,38252883;17,24;1,362676978;11,33;2,13170445;;20,03333333;1,624473904
91;31,69;1,136736689;17,57;1,181628392;11,17;2,206735841;;20,14333333;1,652866961
92;31,86;1,045293763;17,57;1,176566381;11,33;2,393937199;;20,25333333;1,475150007
93;31,86;1,188956853;19,38;1,093788502;11,33;2,316077002;;20,85666667;1,51157586
94;31,86;1,009164643;19,7;1,119900274;11,33;2,466902829;;20,96333333;1,460978007
95;31,69;1,123197954;20,03;1,330461847;11,33;2,136590699;;21,01666667;1,456318333
96;32,35;0,933393886;20,2;1,168503276;11,33;2,278521826;;21,29333333;1,633775177
97;32,35;1,097742819;20,85;1,121902727;11,33;2,883158341;;21,51;1,480835155
98;32,68;1,101912995;20,69;1,211861986;11,17;2,654293066;;21,51333333;1,339143424
99;32,84;0,997965821;21,02;1,13645444;11,17;2,684823857;;21,67666667;1,57737058
100;33,5;1,157094935;21,35;1,166238918;11,17;2,605106082;;22,00666667;1,385785827
101;33,33;1,261368552;21,02;1,196397731;11,17;1,769582633;;21,84;1,695933494
102;33;1,350790718;20,69;1,147297155;11,17;1,742563764;;21,62;1,525590708
103;33;1,210098268;21,35;1,379158555;11,17;2,311370038;;21,84;1,420157687
104;33,5;0,943024864;21,51;1,19270864;11,17;2,597236016;;22,06;1,458458185
105;33,5;0,99285565;21,18;1,285204159;11,17;2,416504295;;21,95;1,304364462
106;33,33;1,005499921;21,02;1,179832634;11,17;2,302525683;;21,84;1,53003515
107;33,5;1,225707768;21,51;1,314475299;11,17;2,034173402;;22,06;1,44457765
108;34,15;1,124726669;21,35;1,45625521;11,17;2,221594081;;22,22333333;1,616457246
109;33,83;1,11559231;22,5;1,090725854;11,17;2,062912154;;22,5;1,457627537
110;34,32;1,251973327;22;1,366504343;11,17;2,213780747;;22,49666667;1,389256023
111;34,48;1,102438218;22,5;1,27317058;11,17;1,894212322;;22,71666667;1,462189671
112;33,99;1,131412835;21,35;1,165486732;11,17;2,143038995;;22,17;1,345233535
113;34,65;0,731703577;21,84;1,135096815;11,17;2,345786415;;22,55333333;1,279728602
114;34,98;1,123498311;21,51;1,290803593;11,17;1,849865539;;22,55333333;1,449157855
115;34,98;0,996195641;21,18;1,098502031;11,17;2,519703812;;22,44333333;1,617592095
116;34,98;0,934137248;21,84;1,118944687;11,17;1,795776738;;22,66333333;1,347299466
117;36,29;1,092401042;22,5;1,118399633;11,17;1,829495523;;23,32;1,446485644
118;35,63;0,969216333;22,33;1,004585176;11,17;2,204360421;;23,04333333;1,362694099
119;35,96;1,119699798;22,5;1,031255136;11,17;2,532019601;;23,21;1,338749129
120;35,8;1,11835531;22,66;1,174174908;11,17;1,976213277;;23,21;1,479715381
121;36,45;0,988753898;21,84;1,286328806;11,17;2,383375097;;23,15333333;1,549235879
122;36,45;1,111174584;22,17;1,310997454;11,17;2,43305453;;23,26333333;1,463426235
123;36,62;1,051184765;22,66;1,206622093;11,17;2,047245116;;23,48333333;1,588919907
124;36,95;0,996867158;22,99;0,994718276;11,17;2,281849991;;23,70333333;1,554457394
125;36,62;1,087061949;22,66;1,355989127;11,17;2,184601882;;23,48333333;1,413891822
126;37,27;0,989887895;23,15;1,165229979;11,17;2,04735267;;23,86333333;1,431361077
127;37,27;1,230603786;23,48;1,241658028;11,17;2,174750618;;23,97333333;1,492194803
128;36,95;1,160083426;23,48;1,163849242;11,17;1,830710341;;23,86666667;1,280286229
129;36,45;1,045295283;23,97;1,095266174;11,17;2,216444081;;23,86333333;1,441581498
130;36,78;1,211673358;24,47;1,082792305;11,17;2,032864609;;24,14;1,446546856
131;36,78;0,94136761;24,63;1,370401324;11,17;1,343137194;;24,19333333;1,461588076
132;37,77;0,830543435;24,47;1,149428272;11,17;2,406579316;;24,47;1,426326879
133;37,77;0,959044362;24,14;1,486801353;11,17;2,446825766;;24,36;1,334907112
134;38,1;1,378623847;24,47;1,176451262;11,17;2,12280682;;24,58;1,509758173
135;37,93;0,971274916;23,81;1,059963213;11,17;1,679357233;;24,30333333;1,350004974
136;37,93;0,921524167;24,47;1,14209579;11,17;2,138329294;;24,52333333;1,383319507
137;38,75;0,828871277;24,47;1,133671943;11,17;1,951117713;;24,79666667;1,500932311
138;38,42;1,003329976;24,14;1,164402327;11,17;1,804406152;;24,57666667;1,468245584
139;38,92;0,918236803;24,47;1,392628686;11,17;1,781453864;;24,85333333;1,428879485
140;39,74;0,831636375;24,47;1,146839849;11,17;2,070210537;;25,12666667;1,333849088
141;40,07;1,061625074;24,79;1,114333948;11,17;1,845909704;;25,34333333;1,533941008
142;40,23;1,023429881;24,47;0,928934166;11,17;2,151284845;;25,29;1,426646887
143;40,39;0,904127318;25,29;1,168884983;11,17;1,631234345;;25,61666667;1,574741743
144;40,56;0,947203051;24,63;1,264670144;11,17;1,892564207;;25,45333333;1,380109596
145;40,07;1,11321173;24,96;1,031700314;11,17;1,471210505;;25,4;1,264435234
146;40,23;1,132294868;25,12;0,972604418;11,17;1,924601019;;25,50666667;1,507932932
