sep=|
epoch|evaluation_0|error_0
1|13,46|4,04706541204335
2|18,39|4,63916044946992
3|15,27|5,94517341033172
4|20,36|6,48876284138914
5|17,08|5,10084928061828
6|14,29|6,00899044834974
7|11,49|6,80123254688538
8|11,33|6,05718730983915
9|11,17|6,39209192010275
10|11,17|6,59742224878805
11|11,17|6,62720367177194
12|11,17|6,79558926567218
13|11,17|6,48861257791769
14|11,17|6,63466834221412
15|11,17|6,37499505031162
16|11,17|5,74908111877762
17|11,17|5,51961669650776
18|11,17|5,7947616836461
19|11,17|5,0834253889713
20|11,17|5,38236766961571
21|11,17|5,94540200118027
22|11,17|5,30066513626077
23|11,17|5,1797256025797
24|11,17|4,57402436660275
25|11,17|4,65963562231053
26|11,17|4,77213707109759
27|11,17|4,64393540599411
28|11,17|4,68547110033299
29|11,17|3,99199903165373
30|11,17|4,33509052413903
31|11,17|4,21966460204033
32|11,17|4,69150308246637
33|11,17|3,91850144950904
34|11,17|4,57107391738715
35|11,17|4,48606373104859
36|11,17|4,13583556043292
37|11,17|3,92410574730469
38|11,17|3,6779298082842
39|11,17|3,91207185640528
40|11,17|3,86166554964124
41|11,17|3,93026023453623
42|11,17|3,97909331722881
43|11,17|3,95010479900231
44|11,17|3,69558817107018
45|11,17|3,41260221977116
46|11,17|3,43323629668016
47|11,17|3,84536565073675
48|11,17|3,33509198932174
49|11,17|3,78243811297251
50|11,17|3,29480240448532
51|11,17|3,17214496517642
52|11,17|3,55335713480622
53|11,17|3,86191101209844
54|11,17|4,35890754864126
55|11,17|2,94214279912346
56|11,17|3,34118136585406
57|11,17|2,82002432127359
58|11,17|3,42669761346886
59|11,17|3,2272657170982
60|11,17|3,39183962801065
61|11,17|3,34174791147645
62|11,17|3,81592668926383
63|11,17|3,26060911401594
64|11,17|3,50677254759911
65|11,17|3,07565117522168
66|11,17|3,18638632235924
67|11,17|3,01824129380705
68|11,17|3,76632339656595
69|11,17|3,71485185603514
70|11,17|3,7522605651031
71|11,17|3,01091266524984
72|11,17|3,43522683080838
73|11,17|3,50688030653295
74|11,17|3,43003545816867
75|11,17|3,0042487945263
76|11,17|3,4800368646493
77|11,17|3,55660413300395
78|11,17|3,27074735948243
79|11,17|3,31619882885094
80|11,17|3,70078309119448
81|11,17|3,42801292444441
82|11,17|3,36745831404919
83|11,17|3,00054807316068
84|11,17|3,80022899241571
85|11,17|3,24124718603055
86|11,17|3,63192584496724
87|11,17|3,29376706607467
88|11,17|3,49115268360482
89|11,17|3,24221265773421
90|11,17|3,30839663093851
91|11,17|3,09581504906956
92|11,17|3,06268418151446
93|11,17|2,90463779000851
94|11,17|3,16879127155304
95|11,17|3,44963470884713
96|11,17|3,25491423295412
97|11,17|3,49617304550174
98|11,17|3,57594171184547
99|11,17|3,43635441195272
