epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2
0;12,64;0;8,54;0;9,2;0
1;11,66;5,929391001;10,67;5,483877579;10,18;5,394819674
2;14,45;5,416163257;10,18;6,032485694;13,79;5,780351951
3;15,27;5,474048634;10,67;4,96653063;10,67;6,125503081
4;16,26;5,263470572;10,84;5,368958016;11,66;5,36713735
5;15,76;4,950515288;12,32;5,047307059;9,85;5,028722778
6;13,79;4,674555694;13,46;4,659532234;11,66;5,522145143
7;18,23;4,416025941;15,44;5,133473068;11,49;5,414207618
8;17,08;4,875048277;15,44;4,774648996;11,82;4,764237512
9;15,93;4,794340398;17,73;5,081431537;10,67;5,120924094
10;18,72;4,291617942;18,72;4,423093195;12,81;4,211101093
11;18,72;4,712839553;18,88;4,442032189;15,44;4,841394168
12;21,18;5,169363006;19,54;4,534655956;15,11;4,793428247
13;18,72;4,148531664;17,9;4,644142243;16,75;4,946042578
14;23,15;4,101136276;24,96;4,426259485;19,38;4,269424095
15;24,47;4,226557688;23,65;4,492773319;20,85;4,741660384
16;25,62;3,898444134;25,12;3,922479949;21,18;3,582629645
17;25,78;4,041604871;22,33;3,512636458;22;4,197916258
18;27,59;4,258731953;24,63;4,320150302;22,17;3,470881484
19;32,84;3,711201904;27,75;4,351233626;19,05;4,780222429
20;32,02;3,66774442;28,9;3,936413445;21,18;4,642153506
21;33,83;4,606478068;28,74;3,775143287;20,36;3,950998427
22;34,48;3,385348643;30,38;3,972800736;24,14;4,503379541
23;33;3,87644948;28,74;4,003640759;24,63;3,474942164
24;40,23;3,992071445;28,24;3,238421546;27,26;4,013787264
25;37,44;3,698107177;34,81;3,072254996;23,32;3,786071197
26;41,54;3,324213065;32,84;3,875292524;23,97;4,315031537
27;36,95;3,544328554;33,66;3,99024847;24,14;4,144998447
28;43,51;3,682945013;33,66;3,56782538;26,44;4,365396831
29;43,02;3,451019577;35,14;3,258854867;21,51;3,794800371
30;36,12;3,543484215;34,15;3,430302182;28,24;4,281121785
31;46,31;3,649256975;35,8;3,772801692;27,91;4,399181449
32;45,32;3,669761518;34,65;3,650806897;32,35;3,745885742
33;50,57;3,634211417;34,48;3,427788814;26,27;3,768293389
34;45,48;3,355057223;41,87;3,430372851;32,51;3,436161476
35;52,71;3,371314759;35,96;3,567058921;29,56;3,900654464
36;51,23;2,811311261;41,05;3,668928101;32,51;3,83668071
37;37,27;3,592252413;37,77;3,900169209;35,63;3,399168324
38;49,59;3,759939336;38,42;3,103259362;35,14;3,792644803
