sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|6,24|0|10,51|0|7,06|0
1|7,22|5,20649312902343|10,02|4,49378019036711|7,06|5,00826578870141
2|7,06|3,26866669243798|13,79|2,54445306021532|7,06|3,68230640010032
3|7,06|2,88233327967068|14,61|2,07180937539943|7,06|2,75128886037119
4|8,7|2,69902638889046|15,6|1,64558950596887|7,06|2,74960826804776
5|15,44|2,40711060156607|18,56|1,69459341044072|7,06|2,46952464827224
6|18,23|2,01801588738741|22,17|1,63750930151526|7,06|2,28430946626617
7|19,05|1,79611126930402|22,5|1,62789646674898|7,06|2,78785588363131
8|21,51|1,83284377554595|21,67|1,37378773448058|7,06|2,70868536417265
9|24,14|1,60966344408545|24,3|1,37254243462179|7,06|2,4903694238105
10|25,12|1,67715787891265|25,29|1,43504025469632|7,06|2,49822860810396
11|25,78|1,74550807770609|28,74|1,52692752000425|7,06|2,40717718659683
12|28,24|1,61271186545041|27,91|1,55687052178675|8,54|2,41983786670782
13|28,74|1,60264379455477|28,57|1,39171524028071|20,03|2,25779592822635
14|24,63|1,52816523281886|29,39|1,63712227572939|28,08|1,99395884517513
15|30,87|1,63584651461917|30,21|1,43321772112409|26,27|1,62278637518887
16|30,21|1,68341230657811|31,86|1,38488815545861|28,57|1,82659825318807
17|32,18|1,51081585368912|32,35|1,50606761750897|27,09|1,47993984892678
18|31,69|1,56083315973741|33|1,44048378555626|30,87|1,46912691500896
19|33,66|1,49856935733297|32,35|1,37240171666216|34,81|1,73527889783672
20|31,86|1,44060161385224|33,17|1,4544815323637|31,86|1,63221867178108
21|29,56|1,49459874275943|33,83|1,1713478908361|35,47|1,56955045327084
22|30,21|1,5529974817221|34,98|1,2784868992627|35,8|1,76770982762473
23|34,65|1,57040763669189|35,8|1,52331424120747|40,23|1,62509705305213
24|38,59|1,48062226138848|36,62|1,47339942949365|41,54|1,50187995691831
25|42,04|1,57083826465241|36,62|1,13269439784058|44,66|1,75888676726857
26|40,56|1,40212897036702|38,42|1,51485029093722|42,2|1,44270304371888
27|36,95|1,52410845294356|37,11|1,41220729850564|43,02|1,60654074463547
28|42,2|1,4394164096609|38,75|1,35792212963922|45,98|1,50178569055553
29|43,51|1,52008241846802|37,27|1,4066358819781|48,93|1,74819295457282
30|43,84|1,3970800318534|37,93|1,42378018071265|46,8|1,48534194215625
31|45,65|1,53242962083267|37,77|1,48438351040128|50,41|1,47655950412562
32|44,5|1,3656704300493|39,9|1,35178802380186|50,9|1,36889575136919
33|45,32|1,49453700393917|40,39|1,22634595598372|51,56|1,48277884409645
34|43,51|1,43940502760285|40,89|1,3870344684748|48,93|1,43861130899301
35|47,29|1,47340033866669|39,41|1,37661513467783|50,9|1,48515153534387
36|47,78|1,46498581889066|41,87|1,5458128064668|48,6|1,62914458961423
37|43,02|1,26946381885896|42,53|1,38096263235094|51,56|1,37081934080054
38|42,86|1,49040088177106|43,02|1,54656546472682|55,17|1,50084310988219
39|45,32|1,25601677916492|46,14|1,40794675189721|55,01|1,34119842091298
